ID,Name,Make,Model,Reason,Missing Fields
"product_69217372-1c26-67fc-6d4e-03746fe7200f","Mercedes 280S","5","Mercedes 280S","No owner email",""
"product_72bfb926-4290-9fa4-ab54-86b1b1f10f45","Mercedes SL500","Mercedes","Mercedes SL500","No owner email",""
"product_81ff8f85-e88c-e42d-e18d-0e2b771f2416","BMW 325i Sport Mtech 2","5","BMW 325i Sport Mtech 2","No owner email",""
"product_23ecf027-3854-84ff-154d-e542eca4fab9","Subaru Impreza WRX","5","Subaru Impreza WRX","No owner email",""
"product_4f88a8dd-c876-a9f8-2f7d-0b700c20655a","Vauxhall Firenza Sportshatch","#800080:Purple;#ff0000:Red","Vauxhall Firenza Sportshatch","No owner email",""
"product_c0654a3d-118a-1bc7-4f56-ffc870fa2b48","Opel Manta GTE","#2424f9:Blue","Opel Manta GTE","No owner email",""
"product_fed1f491-1e69-6eb9-e4cc-37295b1dc94c","Ford Transit Mk2 LWB Twin Wheeler","#ff0000:Red","Ford Transit Mk2 LWB Twin Wheeler","No owner email",""
"product_06f02cd5-b7b7-490a-ad39-c71d340ad86f","Toyota Corolla Estate","5","Toyota Corolla Estate","No owner email",""
"product_0141cf3f-2090-95d8-b366-ba0d087dd98a","Mercedes 220 Sb","Mercedes","Mercedes 220 Sb","No owner email",""
"product_0c87834b-9994-d82d-332c-ba631a046087","Toyota MR2 mk1 (AW11)","#000000:Black","Toyota MR2 mk1 (AW11)","No owner email",""
"product_68b849b4-15c3-fce0-9e51-18630512bb34","BMW M3 EVO","4","BMW M3 EVO","No owner email",""
"product_3671cdfc-74ee-637f-04ee-85521d955d9d","Mercedes Benz SL (r129)","Right Hand Drive","Mercedes Benz SL (r129)","No owner email",""
"product_5dc74eff-53f5-83ef-a2b6-87306111a053","BMW E30 325i","Right Hand Drive","BMW E30 325i","No owner email",""
"product_c9ff316d-3a4e-33a9-5b8d-3d7c67da0273","MG B GT","Right Hand Drive","MG B GT","No owner email",""
"product_df19c1f7-07d8-a265-42f8-e8dfa824cc6e","Jaguar E Type (Series 1)","Jaguar","Jaguar E Type (Series 1)","No owner email",""
"product_cd59cd36-b6d2-2cf3-9d48-81793a7bdbbd","Lancia Flaminia Touring","Lancia","Lancia Flaminia Touring","No owner email",""
"product_c8539b66-7a44-fe18-affc-afec4be8562a","Ferrari Dino 246 GT","Ferrari","Ferrari Dino 246 GT","No owner email",""
